,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2,22201167,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,19:55,3,3,1,0,0,0,1,2,0.5,1,0,1,2,0,0,1,1,7,4
3,22201167,1610612742,DAL,Dallas,202681,Kyrie Irving,Kyrie,G,,44:22:00,16,27,0.593,1,6,0.167,8,8,1,2,3,5,4,2,1,1,3,41,-6
4,22201167,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,43:46:00,8,21,0.381,3,12,0.25,3,4,0.75,0,7,7,7,0,1,5,2,22,-1
5,22201167,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,39:56:00,6,9,0.667,1,4,0.25,0,0,0,2,3,5,4,1,0,0,1,13,6
6,22201167,1610612742,DAL,Dallas,1630702,Jaden Hardy,Jaden,,,13:36,1,1,1,0,0,0,0,2,0,2,1,3,2,0,0,1,1,2,-3
7,22201167,1610612742,DAL,Dallas,1628467,Maxi Kleber,Maxi,,,7:30,1,4,0.25,0,2,0,0,0,0,1,0,1,1,0,0,0,0,2,-20
8,22201167,1610612742,DAL,Dallas,1626174,Christian Wood,Christian,,,29:50:00,5,10,0.5,2,3,0.667,6,10,0.6,1,10,11,3,0,1,4,1,18,10
9,22201167,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,4:54,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,5
10,22201167,1610612742,DAL,Dallas,201580,JaVale McGee,JaVale,,,23:01,5,6,0.833,0,0,0,1,2,0.5,1,5,6,1,0,0,0,3,11,13
11,22201167,1610612742,DAL,Dallas,203200,Justin Holiday,Justin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12,22201167,1610612742,DAL,Dallas,202693,Markieff Morris,Markieff,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
13,22201167,1610612742,DAL,Dallas,1628373,Frank Ntilikina,Frank,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
14,22201167,1610612742,DAL,Dallas,1629033,Theo Pinson,Theo,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
15,22201167,1610612737,ATL,Atlanta,1630180,Saddiq Bey,Saddiq,F,,38:08:00,6,13,0.462,1,6,0.167,0,0,0,5,3,8,2,2,0,0,3,13,10
16,22201167,1610612737,ATL,Atlanta,1628381,John Collins,John,F,,33:37:00,5,10,0.5,4,6,0.667,4,8,0.5,3,7,10,1,2,0,0,2,18,6
17,22201167,1610612737,ATL,Atlanta,203991,Clint Capela,Clint,C,,32:19:00,6,9,0.667,0,0,0,2,2,1,1,10,11,1,2,0,1,4,14,0
18,22201167,1610612737,ATL,Atlanta,1627749,Dejounte Murray,Dejounte,G,,41:29:00,11,21,0.524,1,4,0.25,2,2,1,1,6,7,4,1,0,4,4,25,2
19,22201167,1610612737,ATL,Atlanta,1629027,Trae Young,Trae,G,,41:24:00,8,24,0.333,0,5,0,8,8,1,0,3,3,12,1,0,2,1,24,8
20,22201167,1610612737,ATL,Atlanta,203992,Bogdan Bogdanovic,Bogdan,,,25:15:00,6,14,0.429,4,10,0.4,0,0,0,1,1,2,2,0,0,0,0,16,-6
21,22201167,1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,Onyeka,,,20:36,6,9,0.667,0,0,0,2,2,1,1,4,5,0,0,2,1,3,14,0
22,22201167,1610612737,ATL,Atlanta,1630552,Jalen Johnson,Jalen,,,19:07,2,5,0.4,1,1,1,0,0,0,2,2,4,5,2,1,0,4,5,-8
23,22201167,1610612737,ATL,Atlanta,1631100,AJ Griffin,AJ,,,13:05,1,3,0.333,1,3,0.333,0,0,0,2,1,3,1,0,0,1,1,3,-2
24,22201167,1610612737,ATL,Atlanta,1628981,Bruno Fernando,Bruno,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
25,22201167,1610612737,ATL,Atlanta,1630235,Trent Forrest,Trent,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
26,22201167,1610612737,ATL,Atlanta,1628988,Aaron Holiday,Aaron,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
27,22201167,1610612737,ATL,Atlanta,1630249,Vit Krejci,Vit,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
28,22201167,1610612737,ATL,Atlanta,1631213,Tyrese Martin,Tyrese,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
29,22201167,1610612737,ATL,Atlanta,1629726,Garrison Mathews,Garrison,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0,22201175,1610612744,GSW,Golden State,1628978,Donte DiVincenzo,Donte,F,,31:34:00,8,12,0.667,1,4,0.25,1,1,1,5,8,13,4,2,0,3,3,18,12
1,22201175,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,F,,36:34:00,2,7,0.286,0,1,0,0,0,0,4,5,9,7,1,0,4,5,4,1
2,22201175,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,C,,27:04:00,2,6,0.333,0,0,0,2,2,1,7,7,14,1,1,1,1,2,6,3
3,22201175,1610612744,GSW,Golden State,202691,Klay Thompson,Klay,G,,39:06:00,9,28,0.321,5,16,0.313,2,2,1,1,4,5,4,1,0,1,3,25,0
4,22201175,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:52:00,8,28,0.286,2,14,0.143,3,3,1,1,2,3,4,0,2,3,1,21,-5
