TEAM_ID,PLAYER_ID,PLAYER_NAME,PTS_pred,START_POSITION,TEAM_CITY
1610612741,201942,DeMar DeRozan,17.394943148076198,F,Chicago
1610612741,201976,Patrick Beverley,9.05065739686868,G,Chicago
1610612741,202696,Nikola Vucevic,14.885595425979998,C,Chicago
1610612741,203897,Zach LaVine,19.969928593115302,G,Chicago
1610612741,1630172,Patrick Williams,4.966785380515731,F,Chicago
1610612763,1628415,Dillon Brooks,16.8960801563792,F,Memphis
1610612763,1628991,Jaren Jackson Jr.,16.9470796631919,F,Memphis
1610612763,1629630,Ja Morant,20.4978645536249,G,Memphis
1610612763,1630214,Xavier Tillman,5.2739159606673605,C,Memphis
1610612763,1630217,Desmond Bane,12.4695764131404,G,Memphis
