TEAM_ID,PLAYER_ID,PLAYER_NAME,PTS_pred,TEAM_CITY
1610612762,1627739,Kris Dunn,10.6517011472487,Utah
1610612762,1628374,Lauri Markkanen,14.935240031144199,Utah
1610612762,1628962,Udoka Azubuike,5.488372093023259,Utah
1610612762,1629308,Juan Toscano-Anderson,3.6412065283333397,Utah
1610612762,1629659,Talen Horton-Tucker,8.56110224231872,Utah
1610612751,201988,Patty Mills,7.73722912442245,Brooklyn
1610612751,202693,Markieff Morris,9.0978581473349,Brooklyn
1610612751,203552,Seth Curry,9.665547448939119,Brooklyn
1610612751,203915,Spencer Dinwiddie,14.846962944012198,Brooklyn
1610612751,203925,Joe Harris,6.3049049428343,Brooklyn
